,ticker,date,open,high,low,close,volume,dividend,split,adj_close,sma,rsi,slowd,slowk,roc,willr,std,mom,adx,obv,atr,cci,macd,trix,next_close,direction
45,SPY,2010-09-13,112.5800,112.9500,112.1300,112.7200,177874202,0.0000,1.0000,92.1165,108.4407,63.0575,83.9359,86.6737,5.2278,-2.6559,3.8703999999999965,5.6000,18.2707,2435925398.0000,1.6293,119.5801,0.5880,-0.0139,112.6500,-1
46,SPY,2010-09-14,112.5000,113.2900,112.0800,112.6500,209339106,0.0000,1.0000,92.0593,108.9493,62.7255,86.5408,88.4849,6.7469,-7.1111,3.98545,7.1200,18.6280,2226586292.0000,1.5994,105.5623,0.7667,0.0106,113.0800,1
47,SPY,2010-09-15,112.3200,113.2100,111.9800,113.0800,168413600,0.0000,1.0000,92.4107,109.4593,63.9799,88.0506,88.9931,6.7397,-2.3385,4.072499999999998,7.1400,18.8789,2394999892.0000,1.5730,96.6209,0.9322,0.0354,113.0500,-1
48,SPY,2010-09-16,112.7300,113.1200,112.3500,113.0500,199774257,0.0000,1.0000,92.3862,110.0179,63.8186,88.4734,87.9422,7.4313,-2.6726,3.8834000000000017,7.8200,19.1118,2195225635.0000,1.5156,90.8449,1.0489,0.0589,112.4900,-1
49,SPY,2010-09-17,113.0400,113.1500,112.1800,112.4900,195746043,0.6021,1.0000,92.4206,110.4200,60.7390,83.5505,73.7163,5.2686,-9.0909,3.754550000000002,5.6300,19.1730,1999479592.0000,1.4767,76.9404,1.0837,0.0792,114.2100,1
50,SPY,2010-09-20,112.8800,114.4600,112.5200,114.2100,214541807,0.0000,1.0000,93.8338,111.0557,66.1430,78.2121,72.9778,8.4512,-2.5075,3.361449999999998,8.9000,19.9649,2214021399.0000,1.5119,106.9234,1.2359,0.0998,113.9800,-1
51,SPY,2010-09-21,114.3000,114.8400,113.5100,113.9800,268363571,0.0000,1.0000,93.6448,111.6750,64.8574,70.9848,66.2602,8.2328,-10.5134,2.550449999999998,8.6700,20.8927,1945657828.0000,1.4989,113.9969,1.3226,0.1189,113.4200,-1
52,SPY,2010-09-22,113.8000,114.4400,113.1000,113.4200,191154384,0.0000,1.0000,93.1847,112.0293,61.7124,69.3533,68.8220,4.5731,-22.3622,2.2473499999999973,4.9600,21.3464,1754503444.0000,1.4876,84.9633,1.3308,0.1346,112.5000,-1
53,SPY,2010-09-23,112.4900,113.6700,112.1800,112.5000,202119199,0.0000,1.0000,92.4288,112.2457,56.8362,59.3137,42.8589,2.7679,-44.2344,1.9819999999999993,3.0300,20.9130,1552384245.0000,1.4877,33.9182,1.2487,0.1450,114.8200,1
54,SPY,2010-09-24,113.7500,114.9000,113.6500,114.8200,209597808,0.0000,1.0000,94.3349,112.5264,64.4620,54.5276,51.9018,3.5441,-1.4953,2.1261500000000026,3.9300,21.2321,1761982053.0000,1.5529,125.5510,1.3552,0.1560,114.2700,-1
55,SPY,2010-09-27,114.8600,114.9900,114.1600,114.2700,128567256,0.0000,1.0000,93.8831,112.8571,61.6799,51.9720,61.1554,4.2229,-13.8996,1.8504500000000021,4.6300,21.5781,1633414797.0000,1.5013,121.4947,1.3793,0.1654,114.6700,1
56,SPY,2010-09-28,114.4200,115.0400,113.1800,114.6700,209089087,0.0000,1.0000,94.2117,113.1614,62.9329,66.4078,86.1663,3.8583,-8.3710,1.6677999999999997,4.2600,21.0131,1842503884.0000,1.5269,91.2240,1.4144,0.1736,114.4700,-1
